Real,Probabilidad,Prediccion
0,0.3691036854498806,0
0,0.13077003364779613,0
0,0.062163417548600025,0
0,0.032708297820918754,0
0,0.08833372292116348,0
0,0.24100821822915983,0
1,0.24100836121625788,0
0,0.17441688283526402,0
0,0.05119555826581573,0
0,0.09491081201098965,0
0,0.049852081438731224,0
0,0.08323737501241761,0
1,0.5461940691522277,1
0,0.045998453056431306,0
0,0.40266602093526,0
0,0.026787783326811886,0
1,0.07562991328697294,0
0,0.06805326086455055,0
1,0.2556427802106411,0
0,0.0978496261489862,0
0,0.08562230795525859,0
0,0.13779005068795544,0
0,0.1771871865315011,0
0,0.17089861657372152,0
0,0.29389267514788064,0
0,0.42408721242287883,0
0,0.05747520282904969,0
0,0.07908511106327262,0
1,0.20219908838836215,0
0,0.07976736544826137,0
0,0.11806925257656294,0
0,0.6040224873942139,1
1,0.4326146204600186,0
0,0.08743904629820823,0
0,0.38793740529638504,0
0,0.07858798211214896,0
0,0.059303169739075685,0
0,0.05492094110181267,0
1,0.06301397687297647,0
0,0.20656794194048297,0
0,0.2421667355162478,0
1,0.29791795221658135,0
0,0.23149789612415247,0
0,0.07768073454262416,0
0,0.09174813275533243,0
0,0.15805925920283023,0
0,0.1098041465137194,0
0,0.2000744563751742,0
0,0.02849513912681052,0
0,0.1329914146138972,0
0,0.17064293067980668,0
0,0.20114385872502016,0
1,0.19858585381415148,0
0,0.2914648234863507,0
0,0.2390251297197937,0
0,0.06784772349144787,0
1,0.10697571089835896,0
0,0.10164329139850585,0
0,0.10040396064287613,0
0,0.04560433557077087,0
1,0.18200207550921896,0
0,0.04679947882226211,0
1,0.6571547145729467,1
0,0.30953903235826896,0
0,0.17187885532321232,0
0,0.16934144069616242,0
0,0.16808143918961307,0
0,0.2423280834615342,0
1,0.1984785619480845,0
0,0.3130596019141755,0
0,0.32874970498894274,0
0,0.0730938359566399,0
0,0.104349707164758,0
0,0.0683359754635868,0
0,0.06723359494868238,0
0,0.06706894454486613,0
1,0.4799155038801616,0
0,0.20153176894900662,0
0,0.30756902814562836,0
0,0.15897026816271806,0
0,0.14306657840240924,0
0,0.0685418629377211,0
0,0.046464415692723963,0
0,0.2172109941818134,0
1,0.2682162645782739,0
0,0.17720281098490198,0
0,0.37489318977200453,0
1,0.20661711005728886,0
1,0.25351246389488197,0
1,0.07334065407184208,0
0,0.10394808583962263,0
